GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG15406	3	3	Xh	sp|Q5UQ22|YL207_MIMIV Putative helicase L207/L206
VOG15407	40	38	XpXs	sp|Q05059|GD_HHV1F Envelope glycoprotein D
VOG15412	112	112	Xs	sp|P41672|PIF1_NPVAC Per os infectivity factor 1
VOG15451	259	258	XhXs	sp|O64334|TIPI_BPN15 Tail tip assembly protein I
VOG15461	49	49	Xh	sp|P11042|PP31_NPVAC Protein pp31
VOG15467	3	3	XhXr	sp|P19822|DPOL_BPT5 DNA polymerase
VOG15475	55	55	XhXpXs	sp|P0DOT8|PG095_VARV Entry-fusion complex associated protein OPG095
VOG15489	3	3	Xh	sp|P34010|PG074_VAR67 Protein OPG074
VOG15490	2	2	Xh	sp|P38441|ACE_VIBCH Accessory cholera enterotoxin
VOG15502	9	9	XhXs	sp|Q3L6L9|AGNO_POVS1 Agnoprotein
VOG15546	6	6	Xs	sp|D0UFC9|M1_QRFVE Probable matrix protein
VOG15559	144	144	Xh	sp|Q6QGH9|OBP_BPT5 Putative replication origin binding protein
VOG15575	2	2	Xs	sp|Q5UNW2|YR706_MIMIV Uncharacterized protein R706
VOG15611	729	629	XhXpXr	sp|P03587|RDRP_TOML Replicase large subunit
VOG15616	17	17	Xr	sp|Q05651|IBMP_CAMVW Transactivator/viroplasmin protein
VOG15635	1935	1837	XhXr	sp|O64235|DPOL_BPMD2 DNA polymerase
VOG15639	2	2	Xs	sp|A0A346LU63|CAPS2_SUFV1 Major capsid protein VP5
VOG15647	3	3	XpXs	sp|Q6UDF6|GD_PSHV1 Envelope glycoprotein D
VOG15660	149	149	XhXrXs	sp|Q01681|POLG_PPVEA Genome polyprotein (Fragment)
VOG15681	4	4	Xh	sp|A2AWP0|BIRC7_MOUSE Baculoviral IAP repeat-containing protein 7
VOG15683	27	23	Xp	sp|Q04685|VP8_BTV13 Non-structural protein P8
VOG15702	2	2	XhXs	sp|P0CAB7|VF257_ASFK5 Transmembrane protein C257L
VOG15746	8	8	XhXs	sp|Q84656|P2_PBCV1 Minor capsid protein P2
VOG15855	8	6	Xh	sp|Q83A83|METC_COXBU Cystathionine beta-lyase
VOG15882	4	4	Xh	sp|Q5UQY8|YL897_MIMIV Putative ankyrin repeat protein L897
VOG15887	256	256	Xh	sp|P14819|RPC1_BPPH8 Repressor protein CI
VOG15914	3	3	XhXpXrXs	sp|C5MSH2|POLG_SALVA Genome polyprotein
VOG15946	84	84	XhXpXr	sp|P0C6W0|R1AB_BC512 Replicase polyprotein 1ab
VOG15947	16	15	Xh	sp|Q5UNY2|CFXQ_MIMIV Putative cfxQ-like protein R730
VOG15958	13	13	XhXp	sp|P04494|E3GL_ADE05 Early E3 18.5 kDa glycoprotein
VOG15959	31	31	XhXpXs	sp|P04011|VP2_POVLY Minor capsid protein VP2
VOG15968	873	867	XhXr	sp|Q05259|THYX_BPML5 Probable flavin-dependent thymidylate synthase
VOG15978	60	60	Xh	sp|D0ZSY9|RPOE_SALT1 ECF RNA polymerase sigma-E factor
VOG15991	2	2	XhXr	sp|Q1KZ59|POLG_CILVC RNA replication protein
VOG16000	211	211	Xr	sp|P07879|RPBA_BPT4 15 kDa RNA polymerase-binding protein
VOG16044	28	28	Xh	sp|Q5UQW2|DIPP_MIMIV Putative mRNA-decapping protein
VOG16054	20	20	Xs	sp|P11691|MVP_TBSVC Movement protein
VOG16057	45	45	XhXs	sp|M1L511|VP8_MONPV Core protein VP8
VOG16088	4	4	XhXr	sp|P10160|IF5A1_RABIT Eukaryotic translation initiation factor 5A-1
VOG16090	6	6	Xh	sp|O10345|IAP4_NPVOP Putative apoptosis inhibitor 4
VOG16144	16	5	XhXp	sp|Q9DUE0|C_SENDA Protein C'
VOG16214	8	8	XhXs	sp|P29815|SPHR_AMEPV Spheroidin
VOG16304	97	5	Xh	sp|P0CV52|RL124_PLAVT Secreted RxLR effector protein 124
VOG16318	2	2	XhXs	sp|P0CAJ9|VF73R_ASFK5 Uncharacterized protein I73R
VOG16327	26	25	Xr	sp|P52439|VPAP_HHV6U DNA polymerase processivity factor
VOG16330	20	20	XhXpXrXs	sp|P33515|POLG_MCFA Genome polyprotein
VOG16361	3	3	XhXrXs	sp|P27410|POLG_RHDVF Genome polyprotein
VOG16392	2	2	Xh	sp|A0KNY6|ERPA_AERHH Iron-sulfur cluster insertion protein ErpA
VOG16427	8	8	Xs	sp|Q0A2H4|M1_I59A0 Matrix protein 1
VOG16454	45	44	XhXp	sp|Q8LTD0|SPAN2_BPP2 Probable spanin, outer lipoprotein subunit
VOG16457	3	3	XhXrXs	sp|O92956|POL_RSVSB Gag-Pol polyprotein
VOG16479	20	20	Xh	sp|P9WIQ1|GLF_MYCTU UDP-galactopyranose mutase
VOG16481	5	5	Xr	sp|P0C044|F_HCV1 F protein
VOG16487	27	20	Xh	sp|Q8KHZ8|TRP7H_LENAE Tryptophan 7-halogenase RebH
VOG16508	3	3	Xh	sp|P0CAC1|TBP_ASFK5 Putative TATA-binding protein pB263R
VOG16519	2	2	XhXr	sp|Q1KZ59|POLG_CILVC RNA replication protein
VOG16655	2	2	Xh	sp|Q8U4M3|DPM1_PYRFU Dolichol-phosphate mannosyltransferase
VOG16662	1589	1471	Xh	sp|P0DXF1|UVSW_BPT4 ATP-dependent DNA helicase uvsW
VOG16672	8	8	Xs	sp|Q5UR25|TR362_MIMIV Thioredoxin domain-containing protein R362
VOG16728	31	31	XhXp	sp|P0DOK7|SPAN2_BPP21 Spanin, outer lipoprotein subunit
VOG16730	2	2	Xh	sp|A0MSJ1|CRA1B_DANRE Collagen alpha-1(XXVII) chain B
VOG16734	10	9	XhXpXrXs	sp|P89201|POLG_SPMMV Genome polyprotein
VOG16746	2	2	Xh	sp|P07874|ALGA_PSEAE Alginate biosynthesis protein AlgA
VOG16761	3	3	Xs	sp|Q3V4V5|Y326A_ATV Structural protein ORF326a
VOG16772	2	2	XpXs	sp|O12792|CAPSD_HASV1 Capsid polyprotein VP90
VOG16800	4	4	Xh	sp|P08385|GP166_BPPZA Gene product 16.6
VOG16802	108	107	XhXs	sp|Q6S6T4|UL24_EHV1V Protein UL24 homolog
VOG16836	62	62	XhXpXr	sp|P0C6X5|R1AB_CVHNL Replicase polyprotein 1ab
VOG16868	2	2	Xh	sp|P0CAA4|VF233_ASFK5 Uncharacterized protein H233R
VOG16884	30	30	Xh	sp|P69178|STXB_BPH30 Shiga-like toxin 1 subunit B
VOG16893	12	12	XhXr	sp|P03600|POL1_CPMVS RNA1 polyprotein
VOG16895	2	2	Xh	sp|Q47879|ICEN_PANAN Ice nucleation protein InaU
VOG16960	57	55	Xh	sp|P68440|PG125_VACCW Scaffold protein OPG125
VOG16974	50	50	XhXpXrXs	sp|C8XPB2|POLG_EHV Genome polyprotein
VOG16995	5	5	Xh	sp|Q02742|GCNT1_HUMAN Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase
VOG17042	11	11	Xh	sp|P38561|GLNA3_MAIZE Glutamine synthetase root isozyme 3
VOG17060	95	95	Xr	sp|P28953|TRM2_EHV1B Tripartite terminase subunit 2
VOG17065	2	2	Xr	sp|A4WEK3|MUG_ENT38 G/U mismatch-specific DNA glycosylase
VOG17070	4	4	XhXr	sp|P06225|DPOL_BPSP2 DNA polymerase
VOG17080	15	15	XhXp	sp|P24356|PG045_VACCW Apoptosis regulator OPG045
VOG17235	7	7	XrXs	sp|A0A097I2B5|H2B2A_MELV Histone doublet H2B-H2A
VOG17241	44	44	XhXrXs	sp|P68608|RP22_VACCC DNA-directed RNA polymerase 22 kDa subunit
VOG17269	9	9	Xh	sp|O67653|IF3_AQUAE Translation initiation factor IF-3
VOG17302	2	2	XhXp	sp|Q5I129|IKBN1_MDBVW I-Kappa-B like protein N1
VOG17350	3	3	Xs	sp|Q288N6|VP2_BECN1 Minor capsid protein VP2
VOG17365	7	7	Xh	sp|P50621|RIR2_BACSU Ribonucleoside-diphosphate reductase subunit beta
VOG17386	17	17	Xs	sp|P41700|AC142_NPVAC Protein AC142
VOG17412	12	12	Xh	sp|A0A7H0DN07|PG034_MONPV Protein OPG034
VOG17442	85	85	Xs	sp|Q9XJR2|P5_BPPM2 Protein P5
VOG17455	4	4	Xh	sp|P03683|GP55_BPPH2 Gene product 5.5
VOG17467	2	2	Xr	sp|Q0H8C1|NSP3_ROTB2 Non-structural protein 3
VOG17481	15	15	XhXrXs	sp|Q9YNA4|PB2_THOGV Polymerase basic protein 2
VOG17561	156	146	XhXr	sp|C5IY48|NS1_HBOC3 Initiator protein NS1
VOG17565	24	24	XhXp	sp|P17361|PG035_VACCW Protein OPG035
VOG17595	2	2	Xs	sp|A0A1W6I162|CAPS2_SPV1 Capsid protein VP10
VOG17597	2	2	Xh	sp|Q32HJ0|DGCQ_SHIDS Probable diguanylate cyclase DgcQ
VOG17615	2	2	XrXs	sp|A7WNB2|PHOSP_DMSVA Phosphoprotein
VOG17638	4	4	XhXr	sp|P08548|LIN1_NYCCO LINE-1 reverse transcriptase homolog
VOG17641	6	6	XhXr	sp|D0UFC7|PB2_QRFVE Polymerase basic protein 2
VOG17654	18	18	Xh	sp|P55257|RMLA_YEREN Glucose-1-phosphate thymidylyltransferase
VOG17666	2	2	XhXr	sp|P29324|POLN_HEVBU Non-structural polyprotein pORF1
VOG17678	58	58	Xh	sp|O10277|VE18_NPVOP Putative early 22.7 kDa protein
VOG17685	5	5	Xs	sp|C1JJY2|MATRX_HAPV1 Matrix protein
VOG17694	30	30	Xh	sp|Q93Y08|AB1K8_ARATH Protein ACTIVITY OF BC1 COMPLEX KINASE 8, chloroplastic
VOG17718	53	53	Xh	sp|Q58909|Y1514_METJA Putative gamma-glutamylcyclotransferase MJ1514
VOG17731	9	9	Xs	sp|Q5UQN6|YL442_MIMIV Uncharacterized protein L442
VOG17734	89	88	Xs	sp|A4GZ97|CAPSD_TTVG1 Capsid protein
VOG17756	2	2	XhXr	sp|Q8JVC2|RDRP_PCVC RNA-directed RNA polymerase
VOG17775	9	9	Xh	sp|P17364|C8_VACCW Protein C8
VOG17786	44	44	Xs	sp|A0A7H0DNB2|PG140_MONPV Virion membrane protein OPG140
VOG17799	2	2	Xh	sp|O54698|S29A1_RAT Equilibrative nucleoside transporter 1
VOG17807	17	17	Xs	sp|Q5UQP5|YR457_MIMIV Uncharacterized protein R457
VOG17809	8	8	XhXs	sp|Q84523|P6_PBCV1 Minor capsid protein P6
VOG17822	4	4	Xs	sp|Q6UDF9|TEG5_PSHV1 Tegument protein UL47 homolog
VOG17839	48	48	Xh	sp|A0A7H0DN42|PG069_MONPV Protein OPG069
VOG17891	3	3	Xh	sp|A0A8G1A3Q5|CHI52_PAEXY Chitinase Chi52
VOG17943	5	5	Xh	sp|P50360|Y4HP_SINFN Uncharacterized protein y4hP
VOG18005	5	5	Xh	sp|O34509|YOPZ_BACSU SPbeta prophage-derived uncharacterized protein YopZ
VOG18034	14	14	Xs	sp|Q5UPU8|YL274_MIMIV Uncharacterized protein L274
VOG18040	7	7	Xh	sp|Q5UPW4|YL283_MIMIV Putative ankyrin repeat protein L283
VOG18065	2	2	XhXs	sp|P0CA01|PP220_ASFK5 Polyprotein pp220
VOG18094	24	24	XhXrXs	sp|O64328|G_BPN15 Tail assembly protein G
VOG18097	31	31	Xh	sp|P0DSU9|PG061_VAR67 Protein OPG061
VOG18112	2	2	XhXp	sp|O57261|IL1BP_VACCA Interleukin-1-binding protein
VOG18114	4	4	XhXpXr	sp|P36304|POLN_KYMVJ Non-structural replication polyprotein
VOG18143	2	2	XhXr	sp|Q8BCR0|POLN_RUBVN Non-structural polyprotein p200
VOG18214	2	2	XhXr	sp|P17431|TISB_RAT mRNA decay activator protein ZFP36L1
VOG18242	2	2	Xh	sp|P11107|HEL10_BPT5 Probable helicase D10
VOG18302	2	2	XhXrXs	sp|P09009|TERM_BPPRD DNA terminal protein
VOG18316	31	31	Xh	sp|D4GST8|6PGD_HALVD 6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
VOG18346	2	2	Xh	sp|P39134|PRKA_BACSU ATP-dependent protease PrkA
VOG18443	2	2	XhXs	sp|P0C9V6|CD2H_ASFWA CD2 homolog
VOG18444	158	154	XrXs	sp|P17529|CAPSD_PVMR Capsid protein
VOG18479	2	2	XpXs	sp|Q008X4|SPIKE_WBV24 Spike glycoprotein
VOG18492	329	329	Xh	sp|O48499|D14_BPT5 Protein D14
VOG18505	2	2	Xh	sp|Q00095|KR74_ICHVA Protein kinase ORF74
VOG18522	3	3	Xh	sp|Q9T1X0|GP24_BPMU Uncharacterized protein gp24
VOG18523	193	193	Xp	sp|P07059|END2_BPT4 Endonuclease II
VOG18530	6	6	Xr	sp|D0MY11|ITPA_PHYIT Inosine triphosphate pyrophosphatase
VOG18561	16	16	Xh	sp|P15170|ERF3A_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A
VOG18563	130	130	Xs	sp|P85225|VPN1_BPPHE Putative tail sheath protein
VOG18566	20	20	Xh	sp|O27818|RMLC_METTH dTDP-4-dehydrorhamnose 3,5-epimerase
VOG18574	32	32	Xs	sp|P28980|GN_EHV1B Envelope glycoprotein N
VOG18575	42	42	XhXs	sp|P0DSS1|PG081_VAR67 Protein OPG081
VOG18605	5	5	XhXrXs	sp|P12366|MCE_WTV Putative mRNA-capping enzyme P5
VOG18609	25	19	XhXr	sp|Q89504|P2A_CFMVN Polyprotein P2A
VOG18618	2	2	XhXpXs	sp|P03385|ENV_MLVMS Envelope glycoprotein
VOG18629	12	12	Xs	sp|Q5UQ21|YL208_MIMIV Uncharacterized protein L208
VOG18637	7	7	XhXpXrXs	sp|B8XTP8|POLG_COSAA Genome polyprotein
VOG18643	25	16	XhXpXr	sp|A6YQT5|RPOA_PRRSV Replicase polyprotein 1ab
VOG18645	16	16	XhXpXrXs	sp|P19711|POLG_BVDVN Genome polyprotein
VOG18663	15	9	Xs	sp|Q5UNW2|YR706_MIMIV Uncharacterized protein R706
VOG18699	26	6	XhXp	sp|Q5I159|IKBC2_MDBVW I-Kappa-B like protein C2
VOG18722	14	14	XhXs	sp|P07533|SCAF_BPPZA Capsid assembly scaffolding protein
VOG18723	19	11	XhXr	sp|Q68772|RPOA_SHFV Replicase polyprotein 1ab
VOG18774	2	2	XhXs	sp|P10312|BPD_BPP2 Probable baseplate hub protein
VOG18780	55	54	Xh	sp|P0DOT5|VLTF3_VAR67 Viral late gene transcription factor 3
VOG18786	2	2	Xs	sp|Q9XJR6|P3_BPPM2 Protein P3
VOG18795	11	9	Xh	sp|P14362|V250_FOWPN Uncharacterized protein FPV250
VOG18800	3	3	Xr	sp|P03700|VINT_LAMBD Integrase
VOG18805	2	2	Xh	sp|A0A0C5Q309|SCD1_TACFU Acyl-CoA desaturase 1
VOG18852	44	44	XhXpXs	sp|P22596|GC_EHV4 Envelope glycoprotein C
VOG18927	3	3	Xs	sp|P23430|VIF_VILV1 Virion infectivity factor
VOG18938	46	46	Xs	sp|P0DOL1|PG136_VAR67 Major core protein OPG136 precursor
VOG18984	21	21	Xh	sp|Q7A019|HLGC_STAAW Gamma-hemolysin component C
VOG18993	2	2	XhXrXs	sp|Q37988|TERM_BPCP1 Terminal protein
VOG19050	3	3	XhXs	sp|P16904|VPRL_OMVVS Probable Vpr-like protein
VOG19065	75	55	XhXpXr	sp|P0C6U6|R1A_CVHNL Replicase polyprotein 1a
VOG19084	125	124	XhXrXs	sp|Q76ZP7|RP132_VACCW DNA-directed RNA polymerase 133 kDa polypeptide
VOG19095	55	53	XhXs	sp|A0A7H0DN26|PG053_MONPV EFC-associated protein OPG053
VOG19171	9	9	Xh	sp|P08072|GRFA_MYXVL Growth factor
VOG19184	20	19	XhXr	sp|Q9YJU5|POL1_BPMV RNA1 polyprotein
VOG19236	3	2	XpXs	sp|P03625|G6P_BPPF3 Head virion protein G6P
VOG19239	2	2	Xh	sp|Q5UQB9|YL222_MIMIV Putative SET domain-containing protein L222
VOG19253	42	40	Xh	sp|O33952|UDG8_ECOLX UDP-glucose 6-dehydrogenase
VOG19272	5	5	XhXpXs	sp|P12473|VP4_ROTRH Outer capsid protein VP4
VOG19285	39	28	Xh	sp|P29998|VEF_GVTN Viral-enhancing factor
VOG19298	5	5	Xs	sp|P18455|IORF_CVMS Protein I
VOG19304	924	923	Xs	sp|Q05229|VG23_BPML5 Major tail protein Gp23
VOG19306	11	11	Xh	sp|A9AMZ9|BETA_BURM1 Oxygen-dependent choline dehydrogenase
VOG19309	7	7	Xh	sp|D0ZXQ1|OMPD_SALT1 Outer membrane porin protein OmpD
VOG19350	2	2	Xp	sp|P07059|END2_BPT4 Endonuclease II
VOG19368	11	11	XrXs	sp|O72142|NCAP_EBOZ5 Nucleoprotein
VOG19431	5	5	Xh	sp|Q5UQY9|YR896_MIMIV Putative ankyrin repeat protein R896
VOG19443	15	15	XhXpXs	sp|P12418|MU2_REOVD Microtubule-associated protein mu-2
VOG19477	6	6	XhXpXrXs	sp|P33515|POLG_MCFA Genome polyprotein
VOG19496	13	10	Xh	sp|Q5UPJ4|YL115_MIMIV Putative helicase L115
VOG19565	9	9	Xh	sp|A0A7H0DNF0|POXIN_MONPV Poxin-Schlafen
VOG19641	223	222	Xs	sp|P10929|BP11_BPT4 Baseplate wedge protein gp11
VOG19655	29	26	XhXs	sp|Q84626|PENTA_PBCV1 Penton capsid protein P1
VOG19856	351	349	Xr	sp|O32006|YOKA_BACSU Resolvase homolog YokA
VOG19864	9	9	Xs	sp|Q5UPU1|YR253_MIMIV Uncharacterized protein R253
VOG19865	50	50	XhXs	sp|Q9T1W1|CAPSD_BPMU Major capsid protein
VOG19874	2	2	Xs	sp|P0CAH0|VF423_ASFK5 Uncharacterized protein E423R
VOG19875	4	4	Xp	sp|Q69555|U20_HHV6U Glycoprotein U20
VOG19947	2	2	XhXpXs	sp|P03528|SIGM1_REOVD Outer capsid protein sigma-1
VOG19965	110	110	Xh	sp|O64252|PRXH_BPMD2 Putative non-heme haloperoxidase
VOG19973	19	14	XhXpXs	sp|P87745|HBSAG_HBVGB Large envelope protein
VOG20010	2	2	XpXs	sp|P0DTN7|DEPOL_BPKB1 Depolymerase, capsule K2-specific
VOG20036	8	8	XpXs	sp|O10372|OE27_NPVOP Occlusion-derived virus envelope protein E27
VOG20089	46	46	Xs	sp|P16714|PG077_VACCW Telomere-binding protein OPG077
VOG20097	6	6	XhXpXrXs	sp|Q6QGD5|PORTL_BPT5 Portal protein
VOG20140	2	2	XhXpXs	sp|P89059|NSP4_ROTKU Non-structural glycoprotein 4
VOG20147	7	5	XhXs	sp|Q04567|GP3_PRRSL Glycoprotein 3
VOG20284	22	20	XpXs	sp|A0MD34|GP5_PRRSS Glycoprotein 5
VOG20293	4	4	XpXs	sp|A0A3T0ZBZ8|DEPOL_BPK41 Depolymerase, capsule KN4-specific
VOG20344	393	374	XpXs	sp|O21886|RBP_BPLSK Receptor binding protein
VOG20359	21	21	Xs	sp|P51734|TAIL1_BPHC1 Putative tail protein gp30
VOG20376	19	19	XhXpXrXs	sp|Q6X1D3|PHOSP_KHUV Phosphoprotein
VOG20443	3	3	Xh	sp|Q5UQ22|YL207_MIMIV Putative helicase L207/L206
VOG20460	216	215	XrXs	sp|D8V070|NCAP_TIBVC Nucleoprotein
VOG20476	3	3	Xh	sp|Q9T1W0|GP35_BPMU Uncharacterized protein gp35
VOG20481	8	8	XhXs	sp|Q98573|P3_PBCV1 Minor capsid protein 3
VOG20619	17	17	Xs	sp|Q08538|CPM_BYVU Minor capsid protein
VOG20622	2	2	XhXpXrXs	sp|P79679|TUBE_BPMU Tail tube protein
VOG20654	97	97	Xr	sp|D3WAC0|TERS_BPLP2 Terminase small subunit
VOG20674	3	3	XhXp	sp|P28888|NS1_MPV15 Non-structural protein 1
VOG20720	5	5	XhXs	sp|Q45UF2|VP7_ROTJ1 Outer capsid glycoprotein VP7
VOG20749	6	5	Xh	sp|P02958|SSPC_BACSU Small, acid-soluble spore protein C
VOG20777	8	8	Xh	sp|P08874|ABRB_BACSU Transition state regulatory protein AbrB
VOG20812	4	3	Xr	sp|P0CE52|INSH4_ECOLI Transposase InsH for insertion sequence element IS5F
VOG20817	2	2	XhXs	sp|P0CAD1|VF312_ASFK5 Uncharacterized protein CP312R
VOG20830	2	2	XhXr	sp|P03554|POL_CAMVS Enzymatic polyprotein
VOG20834	68	67	Xh	sp|O36453|IE0_NPVLD Immediate-early protein IE-0
VOG20839	13	13	XhXrXs	sp|Q5UQS6|PAP1_MIMIV Putative poly(A) polymerase catalytic subunit
VOG20841	45	45	Xs	sp|A0A7H0DNA4|PG132_MONPV Virion morphogenesis protein OPG132
VOG20864	2	2	Xh	sp|P55474|NOLO_SINFN Nodulation protein NolNO
VOG20865	3	2	XhXr	sp|P0C6K4|NS1A_HASV1 Non-structural polyprotein 1A
VOG20884	9	9	Xh	sp|Q9NJD8|GMPR_ONCVO GMP reductase
VOG20888	3	3	Xh	sp|Q64865|E434_ADE40 Early E4 34 kDa protein
VOG20893	27	22	Xh	sp|Q6GZV6|019R_FRG3G Putative serine/threonine-protein kinase 019R
VOG20913	378	378	Xh	sp|P07065|TOP5_BPT4 DNA topoisomerase medium subunit
VOG20914	802	778	XhXr	sp|P16006|DCTD_BPT4 Deoxycytidylate deaminase
VOG20943	35	35	XhXs	sp|P0DSW1|PG139_VAR67 Virion membrane protein OPG139
VOG20967	5	5	XrXs	sp|Q8BCV5|NCAP_MILVL Nucleoprotein
VOG21010	3	3	Xh	sp|Q5UNT4|YL670_MIMIV Putative serine/threonine-protein kinase L670
VOG21049	1546	1458	XhXr	sp|P04520|PRIM_BPT4 DNA primase
VOG21081	7	7	Xh	sp|A0A482PUS2|NLEG7_CITRO Probable E3 ubiquitin-protein ligase NleG7
VOG21097	14	14	XhXpXrXs	sp|P19711|POLG_BVDVN Genome polyprotein
VOG21168	3	3	XhXp	sp|Q37975|HOLIN_BPA18 Putative antiholin
VOG21197	2	2	Xs	sp|P27391|VP30_BPPRD Minor capsid protein P30
VOG21206	11	11	XhXr	sp|Q04350|POLB_CHPVE ORFB polyprotein
VOG21214	4	4	Xh	sp|O67240|SAHH_AQUAE Adenosylhomocysteinase
VOG21219	2	2	XhXs	sp|P0CA87|VF184_ASFK5 Uncharacterized protein E184L
VOG21222	9	9	Xs	sp|Q5UNV2|YL688_MIMIV Uncharacterized protein L688
VOG21255	3	3	Xs	sp|P18474|POL2_GFLV RNA2 polyprotein
VOG21256	45	45	XhXrXs	sp|P04310|RP18_VACCW DNA-directed RNA polymerase 18 kDa subunit
VOG21294	20	20	Xp	sp|P62765|STP_BPT4 T4 Suppressor of prr
VOG21362	15	15	Xh	sp|Q3AMJ2|PUR5_SYNSC Phosphoribosylformylglycinamidine cyclo-ligase
VOG21368	98	98	Xs	sp|P33732|PYHD_NPVBS Polyhedrin
VOG21414	16	15	XhXpXs	sp|P13390|FIBL1_BPT5 Side tail fiber protein pb1
VOG21431	106	105	XhXs	sp|P28970|CEP2_EHV1B Cytoplasmic envelopment protein 2
VOG21438	11	11	XhXp	sp|P0DJZ3|SPAN2_BPKMV Probable spanin, outer lipoprotein subunit
VOG21476	6	6	Xh	sp|P32277|RLIG2_BPT4 RNA ligase 2
VOG21483	42	42	Xs	sp|P11333|CAPSD_SPV4 Capsid protein VP1
VOG21517	27	27	XhXp	sp|P03241|E4RF3_ADE02 Early 4 ORF3 protein
VOG21525	2	2	Xh	sp|P0CA55|VF151_ASFK5 Protein A151R
VOG21534	2	2	Xs	sp|P20954|TGB3_PMV Movement protein TGBp3
VOG21535	2	2	Xs	sp|O71024|VP2_AHSV Outer capsid protein VP2
VOG21537	7	7	XhXp	sp|Q197D9|VF193_IIV3 Putative apoptosis inhibitor 021L
VOG21595	16	16	XpXr	sp|Q853W0|KU_BPMOM Protein Ku
VOG21608	4	4	Xh	sp|Q5UPU4|YR267_MIMIV Putative ankyrin repeat protein R267
VOG21609	6	6	XhXp	sp|P03182|EAR_EBVB9 Apoptosis regulator BHRF1
VOG21645	3	3	Xs	sp|Q86563|MVP_RBDVR Putative movement protein
VOG21668	24	24	XpXr	sp|P26003|NSS_TSWVL Non-structural protein NS-S
VOG21676	18	18	XhXrXs	sp|Q5UQD9|YR470_MIMIV Putative DNA directed RNA polymerase subunit R470
VOG21697	3	3	XhXr	sp|P03694|TERL_BPT7 Terminase, large subunit
VOG21715	342	338	XhXr	sp|Q07846|VE1_HPV04 Replication protein E1
VOG21760	2	2	Xh	sp|P00519|ABL1_HUMAN Tyrosine-protein kinase ABL1
VOG21761	20	20	Xh	sp|P32512|PE38_NPVOP Major immediate early protein
VOG21762	3	3	Xh	sp|Q38480|GP8_BPMU Uncharacterized protein gp8
VOG21789	4	4	XpXs	sp|O80298|G6P_BPIF1 Head virion protein G6P
VOG21809	2	2	Xh	sp|A0A0E0S977|CHS8_GIBZE Chitin synthase 8
VOG21818	14	14	Xh	sp|P0DOQ2|PG051_VARV Protein OPG051
VOG21821	54	54	Xh	sp|P04305|PG117_VACCW Uncoating factor OPG117
VOG21842	45	45	XhXpXs	sp|P0DOU2|PG099_VARV Entry-fusion complex protein OPG094
VOG21853	2	2	XhXpXrXs	sp|Q6QGE2|TUBE_BPT5 Tail tube protein pb6
VOG21898	3	3	XhXr	sp|P27209|RDRP_TNVD RNA-directed RNA polymerase
VOG21921	4	4	Xs	sp|Q5GA88|MVP_TAVCV Movement protein
VOG21951	32	32	Xh	sp|P00888|AROF_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
VOG22034	4	4	Xs	sp|P89035|MP6_PMVK Putative movement protein p6.6
VOG22063	10	10	XpXr	sp|Q08545|P21_BYVU RNA silencing suppressor
VOG22091	3	3	Xh	sp|O43916|CHST1_HUMAN Carbohydrate sulfotransferase 1
VOG22100	3	3	XhXrXs	sp|Q05057|POLG_PYFV1 Genome polyprotein
VOG22104	2	2	Xh	sp|Q5UPJ9|YL122_MIMIV Putative ankyrin repeat protein L122
VOG22115	6	3	Xh	sp|A6SDT7|MCA1_BOTFB Metacaspase-1
VOG22148	861	861	XpXrXs	sp|P07394|MATA_BPGA Maturation protein A
VOG22156	2	2	XpXs	sp|A0A219YHC2|DPOL2_BPK52 Depolymerase 2, capsule K5-specific
VOG22175	67	65	Xh	sp|P03776|GP04_BPT7 Gene 0.4 protein
VOG22251	2	2	XhXp	sp|P36216|MTC1_PBCVI Type II methyltransferase M.CviJI
VOG22258	4	2	Xr	sp|P0A043|T431_STAAM Transposase for insertion sequence-like element IS431mec
VOG22297	3	3	XhXpXs	sp|O92955|ENV_RSVSB Envelope glycoprotein gp95
VOG22311	4	4	Xh	sp|O81983|SYS_HELAN Serine--tRNA ligase
VOG22344	3	3	XhXr	sp|O40955|POLN_RUBVR Non-structural polyprotein p200
VOG22353	7	7	XhXpXs	sp|Q9T1V0|S1_BPMU Tail fiber protein S
VOG22356	6	6	XhXp	sp|F5HE05|US02_HCMVM Unique short US2 glycoprotein
VOG22367	5	5	Xh	sp|Q38488|GP12_BPMU Uncharacterized protein gp12
VOG22454	3	3	XhXp	sp|O72736|KBTB1_CWPXG Kelch repeat and BTB domain-containing protein 1
VOG22459	41	40	Xh	sp|O57429|UBP2_CHICK Ubiquitin carboxyl-terminal hydrolase 2
VOG22467	2	2	XhXs	sp|P26015|VP6_ROTGA Intermediate capsid protein VP6
VOG22472	54	54	XpXr	sp|Q00572|VSR_HELVS RNA silencing suppressor
VOG22502	391	382	Xp	sp|P00641|ENDO_BPT7 Endonuclease I
VOG22508	3	3	XpXrXs	sp|A8E264|PORTL_BPPHE Probable portal protein
VOG22513	9	9	XhXr	sp|N0A3C0|POLG_FCV Genome polyprotein
