Query	Query_name	Query_accession	Target_name	Target_accession	Evalue	score	bias	dom_Evalue	dom_score	dom_bias	exp	reg	clu	ov	env	dom	rep	inc	start	end	strand	misc
Hydrivirus	Hydrivirus_1515	-	VOG03054	-	6.1e-17	61.1	0.2	1.6e-12	46.5	0.0	2.1	2	0	0	2	2	2	2	1556021	1556971	1	ID=1_1515;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=5bp;gc_cont=0.373
Tupanvirus_soda_lake	Tupanvirus_soda_lake_94	-	VOG03054	-	9.7e-12	44.0	0.9	1.1e-11	43.8	0.9	1.0	1	0	0	1	1	1	1	87642	88253	-1	ID=1_94;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=10bp;gc_cont=0.271
Tupanvirus_soda_lake	Tupanvirus_soda_lake_208	-	VOG03149	-	7.2e-174	576.8	10.3	8.1e-174	576.7	10.3	1.0	1	0	0	1	1	1	1	204519	205550	1	ID=1_208;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=5bp;gc_cont=0.356
GD2017_2_strous	GD2017_2_strous_964	-	VOG03149	-	6.6e-157	521.0	9.4	7.3e-157	520.9	9.4	1.0	1	0	0	1	1	1	1	1082648	1083670	-1	ID=1_964;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=5bp;gc_cont=0.377
GD2017_2_strous	GD2017_2_strous_708	-	VOG03149	-	4.6e-91	304.5	19.5	5.5e-91	304.2	19.5	1.0	1	0	0	1	1	1	1	772205	773275	1	ID=1_708;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=4bp;gc_cont=0.345
Tupanvirus_soda_lake	Tupanvirus_soda_lake_1033	-	VOG03149	-	3e-81	272.2	16.3	3.8e-81	271.8	16.3	1.0	1	0	0	1	1	1	1	1183078	1184133	-1	ID=1_1033;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=5bp;gc_cont=0.354
Tupanvirus_soda_lake	Tupanvirus_soda_lake_786	-	VOG03149	-	1.7e-55	187.5	14.9	2.2e-55	187.1	14.9	1.0	1	0	0	1	1	1	1	915502	916635	1	ID=1_786;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=3bp;gc_cont=0.361
GD2017_2_strous	GD2017_2_strous_351	-	VOG03149	-	1e-51	175.0	27.8	4.9e-51	172.8	27.8	1.8	1	1	0	1	1	1	1	366845	368113	-1	ID=1_351;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=3bp;gc_cont=0.404
Tupanvirus_soda_lake	Tupanvirus_soda_lake_446	-	VOG03149	-	1.1e-49	168.4	50.9	3.2e-48	163.6	50.9	2.1	1	1	0	1	1	1	1	515386	516174	-1	ID=1_446;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.286
Tupanvirus_soda_lake	Tupanvirus_soda_lake_1139	-	VOG03149	-	3.2e-16	58.3	15.8	3.2e-16	58.3	15.8	2.1	1	1	1	2	2	2	1	1289065	1289973	-1	ID=1_1139;partial=00;start_type=ATG;rbs_motif=TATATA;rbs_spacer=7bp;gc_cont=0.380
bjp_ig5181	bjp_ig5181_77	-	VOG03185	-	2.4e-22	78.6	0.0	2.3e-17	62.2	0.0	2.3	1	1	1	2	2	2	2	57641	60016	1	ID=1_77;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=13bp;gc_cont=0.557
AB_072018	AB_072018_258	-	VOG03185	-	4.7e-16	57.9	0.0	9.8e-16	56.9	0.0	1.4	1	0	0	1	1	1	1	315576	318317	1	ID=1_258;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.494
ALT_072018_38_16	ALT_072018_38_16_297	-	VOG03185	-	1.1e-15	56.8	0.0	1.9e-15	56.0	0.0	1.3	1	0	0	1	1	1	1	278991	281261	1	ID=1_297;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=7bp;gc_cont=0.392
Organic_Lake_phycodnavirus_1	Organic_Lake_phycodnavirus_1_330	-	VOG03185	-	1e-13	50.2	0.0	2.2e-13	49.1	0.0	1.5	1	0	0	1	1	1	1	267513	269612	1	ID=1_330;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=14bp;gc_cont=0.351
Organic_Lake_phycodnavirus_1	Organic_Lake_phycodnavirus_1_320	-	VOG03185	-	1.4e-13	49.8	0.0	3.1e-13	48.7	0.0	1.5	1	0	0	1	1	1	1	260474	262948	1	ID=1_320;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=8bp;gc_cont=0.341
BML_coassembly	BML_coassembly_121	-	VOG03185	-	1.1e-12	46.8	0.0	2.9e-12	45.5	0.0	1.6	1	0	0	1	1	1	1	115386	118664	1	ID=1_121;partial=00;start_type=ATG;rbs_motif=TATATA;rbs_spacer=3bp;gc_cont=0.348
GD2017_2_strous	GD2017_2_strous_745	-	VOG03185	-	2e-11	42.8	0.0	4.7e-11	41.5	0.0	1.6	1	0	0	1	1	1	1	819390	822047	-1	ID=1_745;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
GD2017_2_strous	GD2017_2_strous_806	-	VOG03226	-	8.6e-18	62.0	21.0	9.8e-14	48.6	0.6	2.4	1	1	1	2	2	2	2	892876	895299	-1	ID=1_806;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=10bp;gc_cont=0.302
Tupanvirus_soda_lake	Tupanvirus_soda_lake_351	-	VOG03226	-	3e-17	60.2	20.1	6.4e-13	45.9	1.3	2.2	1	1	1	2	2	2	2	388346	390772	1	ID=1_351;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=10bp;gc_cont=0.292
Chrysochromulina_ericina_virus	Chrysochromulina_ericina_virus_310	-	VOG03226	-	7.4e-16	55.6	13.3	9.4e-16	55.3	13.3	1.0	1	0	0	1	1	1	1	277305	278477	-1	ID=1_310;partial=00;start_type=ATG;rbs_motif=TATAT;rbs_spacer=7bp;gc_cont=0.211
Organic_Lake_phycodnavirus_1	Organic_Lake_phycodnavirus_1_92	-	VOG03226	-	1.5e-14	51.2	12.9	1.9e-14	50.9	12.9	1.0	1	0	0	1	1	1	1	76268	77401	1	ID=1_92;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=8bp;gc_cont=0.264
BML_coassembly	BML_coassembly_216	-	VOG03226	-	1.9e-14	51.0	8.4	2.3e-14	50.6	8.4	1.0	1	0	0	1	1	1	1	215234	216433	-1	ID=1_216;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=10bp;gc_cont=0.284
Faustovirus_ST1	Faustovirus_ST1_399	-	VOG03226	-	4.6e-11	39.7	2.9	5.3e-11	39.5	2.9	1.0	1	0	0	1	1	1	1	387307	388737	-1	ID=1_399;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=5bp;gc_cont=0.342
Pacmanvirus_A23	Pacmanvirus_A23_170	-	VOG03229	-	9e-45	153.1	10.2	1.5e-33	116.0	7.3	2.0	1	1	1	2	2	2	2	141606	142553	-1	ID=1_170;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=10bp;gc_cont=0.329
AB_072018	AB_072018_377	-	VOG03229	-	3e-44	151.4	70.5	7.8e-24	84.0	40.1	2.0	1	1	1	2	2	2	2	447217	448425	1	ID=1_377;partial=00;start_type=ATG;rbs_motif=TATAT;rbs_spacer=11bp;gc_cont=0.273
Hydrivirus	Hydrivirus_662	-	VOG03229	-	5.5e-38	130.7	69.1	4.7e-21	74.8	32.7	2.6	1	1	1	2	2	2	2	684032	685684	1	ID=1_662;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=3bp;gc_cont=0.320
Hydrivirus	Hydrivirus_758	-	VOG03229	-	2.3e-36	125.4	72.2	5.8e-16	58.0	22.8	2.7	1	1	2	3	3	3	3	795761	797227	1	ID=1_758;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=14bp;gc_cont=0.338
Hydrivirus	Hydrivirus_576	-	VOG03229	-	2.3e-33	115.5	38.0	5.4e-30	104.3	37.5	2.0	1	1	0	1	1	1	1	588064	589353	-1	ID=1_576;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.317
Pacmanvirus_A23	Pacmanvirus_A23_189	-	VOG03229	-	2.9e-32	111.8	80.6	1.3e-17	63.5	38.7	2.0	1	1	1	2	2	2	2	155945	157255	-1	ID=1_189;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=11bp;gc_cont=0.304
Hydrivirus	Hydrivirus_237	-	VOG03229	-	4.8e-29	101.2	21.0	8.8e-29	100.3	21.0	1.4	1	1	0	1	1	1	1	258121	259254	1	ID=1_237;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=14bp;gc_cont=0.329
Pacmanvirus_A23	Pacmanvirus_A23_407	-	VOG03229	-	1.1e-26	93.4	76.9	1.1e-13	50.6	33.9	2.1	1	1	1	2	2	2	2	350189	351496	1	ID=1_407;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=4bp;gc_cont=0.297
Pacmanvirus_A23	Pacmanvirus_A23_215	-	VOG03229	-	1.1e-23	83.5	42.2	2.2e-12	46.2	25.1	2.0	1	1	1	2	2	2	2	175968	177362	1	ID=1_215;partial=00;start_type=ATG;rbs_motif=TATAT;rbs_spacer=5bp;gc_cont=0.319
Pacmanvirus_A23	Pacmanvirus_A23_107	-	VOG03229	-	1.6e-19	69.8	49.0	2.4e-19	69.2	49.0	1.2	1	0	0	1	1	1	1	89277	90401	1	ID=1_107;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
Hydrivirus	Hydrivirus_693	-	VOG03229	-	1.8e-17	63.0	37.5	2.1e-12	46.3	21.6	2.0	1	1	1	2	2	2	2	721970	722974	-1	ID=1_693;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.303
SRVP_07252022_550855_L	SRVP_07252022_550855_L_65	-	VOG03229	-	1.1e-12	47.2	33.1	7.9e-12	44.4	6.9	2.0	1	1	1	2	2	2	2	61247	61978	-1	ID=1_65;partial=00;start_type=ATG;rbs_motif=TAT;rbs_spacer=13bp;gc_cont=0.396
Hydrivirus	Hydrivirus_554	-	VOG03293	-	1.8e-109	359.9	590.2	1.7e-08	34.0	49.8	21.4	1	1	20	21	21	21	21	567444	571982	1	ID=1_554;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=4bp;gc_cont=0.506
Tupanvirus_soda_lake	Tupanvirus_soda_lake_386	-	VOG03293	-	1.2e-67	224.9	461.1	2.1e-08	33.7	34.3	18.7	2	2	15	18	18	18	18	441598	446130	1	ID=1_386;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=6bp;gc_cont=0.479
ALT_072018_38_16	ALT_072018_38_16_115	-	VOG03293	-	1.9e-57	192.0	568.0	2.1e-06	27.3	28.0	22.5	10	6	7	17	17	16	16	114593	127543	1	ID=1_115;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=12bp;gc_cont=0.434
Tupanvirus_soda_lake	Tupanvirus_soda_lake_1001	-	VOG03293	-	2.3e-40	136.9	273.7	1.8e-06	27.5	33.6	11.1	2	1	10	12	12	12	11	1151477	1154752	-1	ID=1_1001;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=8bp;gc_cont=0.429
Hydrivirus	Hydrivirus_1238	-	VOG03293	-	3.2e-28	97.7	158.3	1.8e-06	27.5	30.9	6.3	1	1	4	5	5	5	5	1248937	1250682	-1	ID=1_1238;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.526
SRVP_07252022_550855_L	SRVP_07252022_550855_L_140	-	VOG03293	-	7.4e-28	96.5	338.6	1.9e-08	33.9	46.4	6.3	1	1	8	9	9	9	9	139603	141153	1	ID=1_140;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=3bp;gc_cont=0.509
ALT_072018_38_16	ALT_072018_38_16_116	-	VOG03293	-	4.6e-27	93.9	202.7	0.0005	19.6	32.8	8.1	1	1	2	3	3	1	1	127540	129858	1	ID=1_116;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.472
Hydrivirus	Hydrivirus_120	-	VOG03293	-	2.2e-26	91.7	163.6	6.6e-07	28.9	29.0	6.6	2	1	4	6	6	5	5	129659	131908	-1	ID=1_120;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.449
GD2017_2_strous	GD2017_2_strous_830	-	VOG03293	-	7.4e-26	90.1	169.6	2.5e-05	23.8	38.5	7.3	1	1	6	7	7	7	7	925568	927685	-1	ID=1_830;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=7bp;gc_cont=0.451
Hydrivirus	Hydrivirus_897	-	VOG03293	-	2.1e-25	88.6	144.3	7.3e-08	32.0	44.2	5.8	1	1	5	6	6	6	6	933423	935954	-1	ID=1_897;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.484
Pithovirus_LCDPAC01	Pithovirus_LCDPAC01_4	-	VOG03293	-	2.2e-23	82.0	161.1	4.6e-06	26.2	30.2	6.1	1	1	5	6	6	6	6	2565	3965	1	ID=1_4;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=4bp;gc_cont=0.501
Hydrivirus	Hydrivirus_122	-	VOG03293	-	1.2e-19	70.1	189.5	2.2e-07	30.5	34.0	7.7	3	1	5	8	8	6	6	132681	135005	1	ID=1_122;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.483
GD2017_2_strous	GD2017_2_strous_1167	-	VOG03293	-	3.8e-19	68.4	147.6	0.00033	20.2	30.5	7.5	2	2	5	7	7	7	7	1279283	1281478	-1	ID=1_1167;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=7bp;gc_cont=0.422
Hydrivirus	Hydrivirus_202	-	VOG03293	-	9.8e-19	67.1	138.5	1.4e-06	27.9	46.2	5.5	1	1	4	5	5	5	5	217697	219475	1	ID=1_202;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.515
Tupanvirus_soda_lake	Tupanvirus_soda_lake_8	-	VOG03293	-	5.9e-17	61.3	178.3	5.3e-06	26.0	33.2	7.3	2	2	4	6	6	6	6	6132	8417	1	ID=1_8;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=7bp;gc_cont=0.432
GD2017_2_strous	GD2017_2_strous_766	-	VOG03293	-	2.4e-16	59.4	96.2	9.7e-08	31.6	36.7	4.5	1	1	3	4	4	4	4	838672	839991	-1	ID=1_766;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.483
Chrysochromulina_ericina_virus	Chrysochromulina_ericina_virus_188	-	VOG03293	-	6e-16	58.1	132.9	5.6e-06	25.9	42.8	4.9	1	1	3	4	4	4	4	167609	168916	1	ID=1_188;partial=00;start_type=ATG;rbs_motif=TATATA;rbs_spacer=3bp;gc_cont=0.495
Hydrivirus	Hydrivirus_799	-	VOG03293	-	1.2e-14	53.9	114.8	0.00017	21.2	43.4	5.1	1	1	3	4	4	4	4	826650	829670	1	ID=1_799;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.439
SRVP_07252022_550855_L	SRVP_07252022_550855_L_103	-	VOG03293	-	6.6e-14	51.5	98.6	2.7e-05	23.7	28.5	4.5	1	1	3	4	4	4	4	100270	102591	-1	ID=1_103;partial=00;start_type=ATG;rbs_motif=TAT;rbs_spacer=5bp;gc_cont=0.441
Hydrivirus	Hydrivirus_13	-	VOG03293	-	3.7e-13	49.1	100.3	1.2e-05	24.8	29.4	3.7	1	1	2	3	3	3	3	11019	12146	1	ID=1_13;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=15bp;gc_cont=0.489
Hydrivirus	Hydrivirus_807	-	VOG03293	-	6.5e-13	48.3	84.1	2.5e-05	23.8	29.3	3.7	1	1	2	3	3	3	3	836124	837221	-1	ID=1_807;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.479
Tupanvirus_soda_lake	Tupanvirus_soda_lake_417	-	VOG03293	-	1.2e-12	47.4	69.0	3.2e-05	23.5	22.9	3.2	1	1	2	3	3	3	3	477935	480259	1	ID=1_417;partial=00;start_type=ATG;rbs_motif=TATAT;rbs_spacer=4bp;gc_cont=0.358
ALT_072018_38_16	ALT_072018_38_16_39	-	VOG03293	-	1.6e-12	47.1	72.4	5.7e-06	25.9	26.1	3.8	2	1	2	4	4	3	3	37773	38756	-1	ID=1_39;partial=00;start_type=ATG;rbs_motif=TAT;rbs_spacer=3bp;gc_cont=0.503
SRVP_07252022_550855_L	SRVP_07252022_550855_L_160	-	VOG03293	-	1.3e-11	44.1	93.8	4.1e-05	23.1	34.8	4.3	1	1	2	3	3	3	3	163952	165982	-1	ID=1_160;partial=00;start_type=ATG;rbs_motif=TAT;rbs_spacer=15bp;gc_cont=0.444
GD2017_2_strous	GD2017_2_strous_767	-	VOG03293	-	1.4e-11	43.9	52.5	3.6e-06	26.5	21.9	3.1	1	1	0	2	2	2	2	840269	841009	-1	ID=1_767;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.497
SRVP_07252022_550855_L	SRVP_07252022_550855_L_204	-	VOG03293	-	2.3e-11	43.3	94.1	0.00056	19.5	30.9	3.6	1	1	1	2	2	2	2	210468	211574	-1	ID=1_204;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=3bp;gc_cont=0.537
SRVP_07252022_550855_L	SRVP_07252022_550855_L_159	-	VOG03293	-	2.6e-11	43.1	83.7	1.8e-09	37.2	38.8	6.6	4	2	3	7	7	4	2	161767	163860	-1	ID=1_159;partial=00;start_type=ATG;rbs_motif=TAT;rbs_spacer=9bp;gc_cont=0.492
ALT_072018_38_16	ALT_072018_38_16_58	-	VOG03338	-	1e-75	254.7	0.0	1.1e-75	254.6	0.0	1.0	1	0	0	1	1	1	1	64807	65454	-1	ID=1_58;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=8bp;gc_cont=0.424
Pacmanvirus_A23	Pacmanvirus_A23_167	-	VOG03496	-	1.9e-215	714.5	10.7	2.1e-215	714.3	10.7	1.0	1	0	0	1	1	1	1	135239	136573	-1	ID=1_167;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=6bp;gc_cont=0.357
GD2017-2_urea	GD2017-2_urea_96	-	VOG03496	-	8.2e-47	158.8	7.6	2.5e-46	157.2	7.6	1.6	1	1	0	1	1	1	1	87491	88621	-1	ID=1_96;partial=00;start_type=ATG;rbs_motif=TAT;rbs_spacer=7bp;gc_cont=0.371
Faustovirus_ST1	Faustovirus_ST1_124	-	VOG03496	-	6.5e-46	155.8	12.7	1.4e-45	154.7	12.7	1.5	1	1	0	1	1	1	1	135377	137392	-1	ID=1_124;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=4bp;gc_cont=0.400
SSJD_D22_6_30_4_contig_2	SSJD_D22_6_30_4_contig_2_55	-	VOG03496	-	1.9e-37	127.9	14.4	2.4e-37	127.6	14.4	1.1	1	0	0	1	1	1	1	44623	45939	1	ID=2_55;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=4bp;gc_cont=0.287
bjp_ig5181	bjp_ig5181_110	-	VOG03496	-	6.7e-30	103.1	0.0	1.7e-28	98.4	0.0	2.0	1	1	0	1	1	1	1	102415	103824	1	ID=1_110;partial=00;start_type=ATG;rbs_motif=TATATA;rbs_spacer=11bp;gc_cont=0.538
GD2017_2_strous	GD2017_2_strous_1106	-	VOG03560	-	4.9e-44	150.1	30.1	5e-10	38.2	4.1	6.0	1	1	6	7	7	7	7	1219560	1220999	1	ID=1_1106;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=7bp;gc_cont=0.328
GD2017-2_urea	GD2017-2_urea_129	-	VOG03560	-	2.6e-16	58.9	7.7	0.0026	16.2	0.1	6.9	1	1	4	7	7	7	7	124397	125848	1	ID=1_129;partial=00;start_type=ATG;rbs_motif=TTTTT;rbs_spacer=13bp;gc_cont=0.424
Pithovirus_LCDPAC01.fna|MK500278.1	Pithovirus_LCDPAC01.fna|MK500278.1_3	-	VOG03560	-	7.6e-12	44.2	5.3	4.9e-05	21.8	0.3	3.9	3	1	0	3	3	3	3	3081	4322	1	ID=11_3;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=14bp;gc_cont=0.351
GD2017_2_strous	GD2017_2_strous_823	-	VOG03630	-	3.4e-98	327.1	0.3	3.4e-98	327.1	0.3	3.2	5	0	0	5	5	5	1	912424	917382	1	ID=1_823;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=9bp;gc_cont=0.339
Tupanvirus_soda_lake	Tupanvirus_soda_lake_333	-	VOG03630	-	3.3e-97	323.9	1.4	3.3e-97	323.9	1.4	2.8	2	0	0	2	2	2	1	365253	370010	-1	ID=1_333;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=9bp;gc_cont=0.320
Organic_Lake_phycodnavirus_1	Organic_Lake_phycodnavirus_1_253	-	VOG03630	-	3.1e-42	143.5	7.2	3.5e-42	143.4	7.2	1.0	1	0	0	1	1	1	1	219236	219913	1	ID=1_253;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=3bp;gc_cont=0.282
BML_coassembly	BML_coassembly_181	-	VOG03630	-	9.7e-38	128.8	6.7	1.2e-37	128.4	6.7	1.1	1	0	0	1	1	1	1	175655	176419	-1	ID=1_181;partial=00;start_type=ATG;rbs_motif=TATATA;rbs_spacer=5bp;gc_cont=0.312
Chrysochromulina_ericina_virus	Chrysochromulina_ericina_virus_277	-	VOG03630	-	5.6e-36	123.0	5.8	7e-36	122.7	5.8	1.2	1	0	0	1	1	1	1	240961	241665	-1	ID=1_277;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=4bp;gc_cont=0.237
AB_072018	AB_072018_171	-	VOG03630	-	2.5e-25	88.1	0.1	3e-25	87.8	0.1	1.1	1	0	0	1	1	1	1	222996	223757	1	ID=1_171;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=5bp;gc_cont=0.445
BML_coassembly	BML_coassembly_29	-	VOG03630	-	7.8e-14	50.3	0.4	9.3e-14	50.1	0.4	1.1	1	0	0	1	1	1	1	30751	31200	1	ID=1_29;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=9bp;gc_cont=0.371
Chrysochromulina_ericina_virus	Chrysochromulina_ericina_virus_57	-	VOG03630	-	2e-13	49.0	0.4	2.4e-13	48.7	0.4	1.1	1	0	0	1	1	1	1	54728	55180	1	ID=1_57;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=4bp;gc_cont=0.283
Tupanvirus_soda_lake	Tupanvirus_soda_lake_755	-	VOG03630	-	3.8e-11	41.5	0.3	4.7e-11	41.2	0.3	1.1	1	0	0	1	1	1	1	881624	882133	-1	ID=1_755;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=8bp;gc_cont=0.335
Tupanvirus_soda_lake	Tupanvirus_soda_lake_1035	-	VOG03922	-	5.7e-66	221.3	3.9	6.3e-66	221.2	3.9	1.0	1	0	0	1	1	1	1	1185806	1186411	-1	ID=1_1035;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=14bp;gc_cont=0.320
Chrysochromulina_ericina_virus	Chrysochromulina_ericina_virus_141	-	VOG03922	-	4.9e-57	192.1	9.6	5.4e-57	192.0	9.6	1.0	1	0	0	1	1	1	1	128475	128987	1	ID=1_141;partial=00;start_type=ATG;rbs_motif=TATAT;rbs_spacer=12bp;gc_cont=0.265
BML_coassembly	BML_coassembly_266	-	VOG03922	-	7e-57	191.6	9.1	7.6e-57	191.5	9.1	1.0	1	0	0	1	1	1	1	266822	267313	1	ID=1_266;partial=00;start_type=ATG;rbs_motif=TATAT;rbs_spacer=11bp;gc_cont=0.341
Organic_Lake_phycodnavirus_1	Organic_Lake_phycodnavirus_1_30	-	VOG03922	-	1.1e-56	191.0	8.4	1.2e-56	190.8	8.4	1.0	1	0	0	1	1	1	1	24872	25330	-1	ID=1_30;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=6bp;gc_cont=0.344
ALT_072018_38_16	ALT_072018_38_16_186	-	VOG03922	-	7e-54	181.8	3.7	7.7e-54	181.7	3.7	1.0	1	0	0	1	1	1	1	181500	181964	-1	ID=1_186;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.424
Tupanvirus_soda_lake	Tupanvirus_soda_lake_11	-	VOG03941	-	3e-298	988.9	15.2	3.4e-298	988.7	15.2	1.0	1	0	0	1	1	1	1	10624	12255	-1	ID=1_11;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=10bp;gc_cont=0.290
GD2017_2_strous	GD2017_2_strous_1163	-	VOG03941	-	3.6e-279	925.9	15.4	4.1e-279	925.7	15.4	1.0	1	0	0	1	1	1	1	1274893	1276512	1	ID=1_1163;partial=00;start_type=ATG;rbs_motif=TAAAT;rbs_spacer=8bp;gc_cont=0.309
Hydrivirus	Hydrivirus_878	-	VOG03941	-	2.1e-32	111.3	0.0	2.8e-32	110.9	0.0	1.0	1	0	0	1	1	1	1	913727	914455	1	ID=1_878;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.366
Tupanvirus_soda_lake	Tupanvirus_soda_lake_286	-	VOG04005	-	1.1e-197	655.7	46.5	1.2e-197	655.5	46.5	1.0	1	0	0	1	1	1	1	298869	299993	1	ID=1_286;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=3bp;gc_cont=0.252
GD2017_2_strous	GD2017_2_strous_876	-	VOG04005	-	3.5e-188	624.4	42.4	4e-188	624.3	42.4	1.0	1	0	0	1	1	1	1	981865	982989	-1	ID=1_876;partial=00;start_type=ATG;rbs_motif=TAT;rbs_spacer=8bp;gc_cont=0.284
GD2017_2_strous	GD2017_2_strous_1106	-	VOG04077	-	2.2e-158	526.0	40.0	5.9e-65	218.8	9.4	3.1	1	1	2	3	3	3	3	1219560	1220999	1	ID=1_1106;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=7bp;gc_cont=0.328
Tupanvirus_soda_lake	Tupanvirus_soda_lake_966	-	VOG04077	-	4.6e-151	501.9	40.4	6e-51	172.8	2.3	5.1	2	2	3	5	5	5	5	1120875	1122482	-1	ID=1_966;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.340
Tupanvirus_soda_lake	Tupanvirus_soda_lake_1116	-	VOG04077	-	5.9e-141	468.7	63.0	1.8e-40	138.3	12.4	4.0	1	1	3	4	4	4	4	1267380	1268903	-1	ID=1_1116;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=4bp;gc_cont=0.308
Tupanvirus_soda_lake	Tupanvirus_soda_lake_1119	-	VOG04077	-	1e-138	461.3	49.0	1.3e-58	197.9	16.5	4.8	1	1	3	4	4	4	4	1271952	1273634	-1	ID=1_1119;partial=00;start_type=ATG;rbs_motif=TAT;rbs_spacer=3bp;gc_cont=0.303
GD2017-2_urea	GD2017-2_urea_129	-	VOG04077	-	9.6e-134	445.0	47.8	6e-31	107.0	3.7	5.0	1	1	4	5	5	5	5	124397	125848	1	ID=1_129;partial=00;start_type=ATG;rbs_motif=TTTTT;rbs_spacer=13bp;gc_cont=0.424
Tupanvirus_soda_lake	Tupanvirus_soda_lake_1117	-	VOG04077	-	2.1e-129	430.7	51.9	8.1e-49	165.8	10.1	3.1	1	1	2	3	3	3	3	1268974	1270443	-1	ID=1_1117;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=7bp;gc_cont=0.320
